run,ipm,lambda,ipm_type,habitat
662,lag_cf,0.96,lag,cf
663,lag_cf,0.955,lag,cf
664,lag_cf,0.951,lag,cf
665,lag_cf,0.967,lag,cf
666,lag_cf,0.967,lag,cf
667,lag_cf,0.923,lag,cf
668,lag_cf,0.971,lag,cf
669,lag_cf,0.97,lag,cf
670,lag_cf,0.973,lag,cf
671,lag_cf,0.98,lag,cf
672,lag_cf,0.946,lag,cf
673,lag_cf,0.967,lag,cf
674,lag_cf,0.924,lag,cf
675,lag_cf,0.966,lag,cf
676,lag_cf,0.954,lag,cf
677,lag_cf,0.956,lag,cf
678,lag_cf,0.963,lag,cf
679,lag_cf,0.957,lag,cf
680,lag_cf,0.965,lag,cf
681,lag_cf,0.986,lag,cf
682,lag_cf,0.961,lag,cf
683,lag_cf,1.001,lag,cf
684,lag_cf,0.984,lag,cf
685,lag_cf,0.955,lag,cf
686,lag_cf,0.98,lag,cf
687,lag_cf,1.012,lag,cf
688,lag_cf,0.965,lag,cf
689,lag_cf,0.989,lag,cf
690,lag_cf,0.96,lag,cf
691,lag_cf,0.996,lag,cf
692,lag_cf,1.022,lag,cf
693,lag_cf,0.97,lag,cf
694,lag_cf,0.997,lag,cf
695,lag_cf,1.008,lag,cf
696,lag_cf,0.993,lag,cf
697,lag_cf,1.014,lag,cf
698,lag_cf,0.988,lag,cf
699,lag_cf,0.967,lag,cf
700,lag_cf,0.983,lag,cf
701,lag_cf,0.972,lag,cf
702,lag_cf,0.982,lag,cf
703,lag_cf,0.963,lag,cf
704,lag_cf,0.952,lag,cf
705,lag_cf,0.926,lag,cf
706,lag_cf,0.92,lag,cf
707,lag_cf,0.968,lag,cf
708,lag_cf,0.965,lag,cf
709,lag_cf,1.001,lag,cf
710,lag_cf,0.939,lag,cf
711,lag_cf,0.977,lag,cf
712,lag_cf,0.987,lag,cf
713,lag_cf,0.995,lag,cf
714,lag_cf,0.992,lag,cf
715,lag_cf,0.981,lag,cf
716,lag_cf,1.002,lag,cf
717,lag_cf,0.991,lag,cf
718,lag_cf,0.996,lag,cf
719,lag_cf,0.97,lag,cf
720,lag_cf,0.974,lag,cf
721,lag_cf,0.964,lag,cf
722,lag_cf,0.976,lag,cf
723,lag_cf,0.975,lag,cf
724,lag_cf,0.943,lag,cf
725,lag_cf,0.954,lag,cf
726,lag_cf,0.929,lag,cf
727,lag_cf,0.941,lag,cf
728,lag_cf,0.971,lag,cf
729,lag_cf,0.973,lag,cf
730,lag_cf,0.987,lag,cf
731,lag_cf,0.977,lag,cf
732,lag_cf,0.98,lag,cf
733,lag_cf,0.976,lag,cf
734,lag_cf,0.976,lag,cf
735,lag_cf,0.985,lag,cf
736,lag_cf,0.994,lag,cf
737,lag_cf,0.967,lag,cf
738,lag_cf,0.985,lag,cf
739,lag_cf,0.966,lag,cf
740,lag_cf,0.986,lag,cf
741,lag_cf,1.015,lag,cf
742,lag_cf,0.996,lag,cf
743,lag_cf,0.975,lag,cf
744,lag_cf,0.999,lag,cf
745,lag_cf,0.996,lag,cf
746,lag_cf,0.953,lag,cf
747,lag_cf,1.003,lag,cf
748,lag_cf,1.015,lag,cf
749,lag_cf,0.994,lag,cf
750,lag_cf,0.976,lag,cf
751,lag_cf,0.978,lag,cf
752,lag_cf,0.961,lag,cf
753,lag_cf,1.006,lag,cf
754,lag_cf,1.013,lag,cf
755,lag_cf,0.991,lag,cf
756,lag_cf,1.032,lag,cf
757,lag_cf,1.007,lag,cf
758,lag_cf,1.016,lag,cf
759,lag_cf,1.043,lag,cf
760,lag_cf,1.007,lag,cf
761,lag_cf,0.984,lag,cf
762,lag_cf,0.986,lag,cf
763,lag_cf,0.969,lag,cf
764,lag_cf,1.024,lag,cf
765,lag_cf,1.004,lag,cf
766,lag_cf,1.011,lag,cf
767,lag_cf,0.978,lag,cf
768,lag_cf,0.974,lag,cf
769,lag_cf,0.985,lag,cf
770,lag_cf,0.984,lag,cf
771,lag_cf,0.999,lag,cf
